name,role,response
taylor,ux researcher,"I spend most of my week planning interviews, analyzing transcripts, and sharing findings with product teams."
jamie,product manager,"Our biggest challenge is prioritizing feature requests from different stakeholder groups without losing focus."
alex,data analyst,"I need faster access to clean survey exports because manual cleanup in spreadsheets takes too long."
morgan,software engineer,"I collaborate with design weekly and need clearer acceptance criteria from research findings."
casey,customer success manager,"Customers keep asking for better onboarding tips and more examples inside the app."
ria,service designer,"Journey maps help us align cross-functional teams, but we rarely keep them updated after launch."
noah,marketing specialist,"Survey respondents said they value short tutorials and quick wins over long documentation."
devon,research assistant,"I help recruit participants and schedule sessions, which is hard when calendars constantly change."
parker,instructional designer,"People told us they want learning content split into beginner and advanced tracks."
quinn,operations manager,"We need a single source of truth for user feedback because notes are scattered across tools."
harper,health informatics specialist,"Clinicians requested fewer clicks in charting workflows and better alert prioritization."
reese,accessibility specialist,"Participants using screen readers reported unlabeled controls in our mobile prototype."
skyler,content strategist,"Users said plain language and clearer headings made tasks feel much easier."
blake,policy analyst,"Interviewees were unsure how their data is stored, so transparency messaging needs improvement."
emerson,program coordinator,"Staff asked for reminders before deadlines and a dashboard that highlights overdue tasks."
,design intern,"This row should be removed because the name is empty."
  ,product designer,"This row should also be removed because the name is whitespace."
avery,user researcher,"Most participants preferred a weekly summary email over daily notifications."
rowan,business analyst,"I rely on survey themes to support roadmap decisions during quarterly planning."
