category,helpful_votes,verified_purchase
field research,37,True
field research,12,True
user research,21,True
research repository,38,True
field research,5,True
user research,14,False
field research,23,True
usability testing,34,False
research repository,2,False
collaborative whiteboard,45,True
collaborative whiteboard,34,True
user research,5,False
field research,27,True
collaborative whiteboard,46,True
user research,0,False
usability testing,40,True
user research,33,False
user research,15,True
user research,8,True
collaborative whiteboard,27,False
user research,42,True
collaborative whiteboard,37,True
user research,3,True
field research,34,True
user research,6,True
collaborative whiteboard,43,True
field research,8,True
usability testing,6,True
user research,25,False
research repository,18,True
user research,47,True
usability testing,10,True
user research,15,True
user research,39,True
user research,16,True
usability testing,4,True
user research,15,True
research repository,33,True
user research,16,True
field research,43,True
usability testing,0,True
research repository,45,True
field research,9,True
field research,43,True
field research,15,False
research repository,26,False
research repository,24,False
collaborative whiteboard,19,False
research repository,25,True
field research,43,False
user research,11,True
usability testing,32,True
user research,0,True
user research,20,True
field research,44,True
research repository,43,False
research repository,19,True
collaborative whiteboard,43,True
collaborative whiteboard,32,True
user research,12,True
field research,4,True
user research,31,True
research repository,11,False
user research,29,True
collaborative whiteboard,27,False
user research,40,True
user research,15,True
usability testing,4,True
usability testing,44,True
user research,47,False
user research,21,True
collaborative whiteboard,34,True
collaborative whiteboard,11,True
collaborative whiteboard,16,False
collaborative whiteboard,14,True
field research,9,True
collaborative whiteboard,23,True
user research,19,True
field research,37,True
research repository,2,True
collaborative whiteboard,26,False
field research,11,False
usability testing,17,True
research repository,29,True
collaborative whiteboard,21,True
user research,46,True
user research,28,False
field research,35,True
collaborative whiteboard,16,True
research repository,12,True
collaborative whiteboard,12,True
usability testing,8,True
field research,6,False
user research,7,False
collaborative whiteboard,15,True
collaborative whiteboard,28,True
user research,47,True
research repository,10,True
collaborative whiteboard,4,True
usability testing,27,True
research repository,47,False
usability testing,32,True
collaborative whiteboard,16,True
research repository,43,False
user research,17,True
user research,22,True
usability testing,42,False
user research,0,True
user research,31,True
field research,18,True
collaborative whiteboard,35,True
collaborative whiteboard,9,True
usability testing,15,True
research repository,4,True
collaborative whiteboard,37,True
collaborative whiteboard,35,False
collaborative whiteboard,36,True
collaborative whiteboard,41,False
collaborative whiteboard,6,False
collaborative whiteboard,41,False
field research,41,True
usability testing,2,True
research repository,6,False
field research,20,False
usability testing,11,True
field research,37,True
collaborative whiteboard,18,True
research repository,19,True
collaborative whiteboard,44,True
collaborative whiteboard,18,False
research repository,16,True
research repository,23,False
field research,33,True
usability testing,47,False
field research,43,False
collaborative whiteboard,34,True
usability testing,23,True
research repository,4,True
collaborative whiteboard,31,True
research repository,47,True
user research,6,False
user research,28,True
research repository,22,True
usability testing,5,True
user research,4,False
user research,21,False
user research,7,True
field research,11,True
research repository,28,False
user research,33,True
field research,31,True
collaborative whiteboard,8,True
user research,18,True
user research,35,False
research repository,46,True
collaborative whiteboard,4,True
field research,3,True
user research,27,False
field research,9,True
research repository,27,False
user research,11,True
usability testing,25,True
field research,21,True
usability testing,9,True
user research,31,True
collaborative whiteboard,43,True
collaborative whiteboard,13,True
research repository,47,True
research repository,22,True
field research,27,True
collaborative whiteboard,39,True
usability testing,33,True
usability testing,32,True
user research,6,True
research repository,4,True
collaborative whiteboard,41,True
user research,40,True
usability testing,3,True
usability testing,29,True
field research,38,True
research repository,45,True
research repository,10,True
usability testing,40,True
field research,21,True
research repository,35,True
usability testing,23,True
usability testing,31,True
research repository,32,False
user research,11,False
user research,39,True
collaborative whiteboard,30,False
research repository,24,True
collaborative whiteboard,16,True
collaborative whiteboard,7,True
research repository,14,False
usability testing,5,True
field research,2,True
collaborative whiteboard,5,True
research repository,18,True
field research,31,True
field research,27,True
usability testing,42,True
user research,35,True
collaborative whiteboard,22,True
field research,41,True
collaborative whiteboard,45,False
collaborative whiteboard,20,False
user research,41,True
usability testing,47,True
collaborative whiteboard,33,True
field research,34,True
field research,10,True
usability testing,17,True
field research,10,False
research repository,23,True
user research,28,False
user research,1,False
collaborative whiteboard,39,True
collaborative whiteboard,28,True
collaborative whiteboard,35,True
usability testing,14,True
research repository,29,False
user research,26,False
field research,33,True
user research,7,True
usability testing,22,False
user research,8,True
user research,9,True
user research,2,False
field research,26,True
field research,43,True
collaborative whiteboard,29,True
user research,23,True
field research,3,True
collaborative whiteboard,20,False
usability testing,32,True
usability testing,13,True
field research,43,True
user research,23,True
field research,24,True
user research,21,True
usability testing,2,True
research repository,38,False
research repository,21,True
user research,43,True
collaborative whiteboard,41,False
user research,33,True
user research,2,True
field research,26,True
research repository,45,True
research repository,11,True
user research,15,True
usability testing,45,True
collaborative whiteboard,18,True
user research,18,True
field research,12,False
usability testing,15,True
user research,6,True
collaborative whiteboard,26,True
collaborative whiteboard,41,True
user research,26,False
research repository,47,False
usability testing,21,True
user research,7,True
collaborative whiteboard,43,False
research repository,20,True
field research,20,False
field research,17,False
usability testing,42,True
usability testing,45,False
field research,8,True
collaborative whiteboard,30,False
research repository,33,True
usability testing,9,True
user research,5,False
collaborative whiteboard,36,True
collaborative whiteboard,4,True
usability testing,30,True
collaborative whiteboard,46,True
collaborative whiteboard,24,True
user research,46,False
field research,27,True
research repository,17,True
field research,15,True
field research,15,False
collaborative whiteboard,8,True
usability testing,20,True
usability testing,33,True
usability testing,40,True
user research,44,True
research repository,19,False
research repository,35,True
collaborative whiteboard,41,True
collaborative whiteboard,3,True
user research,30,True
usability testing,47,False
collaborative whiteboard,15,True
usability testing,29,True
collaborative whiteboard,14,False
field research,46,True
research repository,36,False
collaborative whiteboard,10,False
usability testing,31,True
user research,26,True
research repository,39,True
user research,0,True
usability testing,27,False
research repository,16,False
usability testing,36,True
research repository,2,True
collaborative whiteboard,5,True
collaborative whiteboard,33,False
research repository,30,True
field research,11,False
usability testing,10,True
user research,32,False
usability testing,38,False
user research,14,True
collaborative whiteboard,39,True
research repository,20,True
field research,6,True
research repository,1,True
user research,18,True
field research,43,True
research repository,9,True
collaborative whiteboard,16,False
collaborative whiteboard,21,False
collaborative whiteboard,19,True
research repository,47,True
collaborative whiteboard,7,False
research repository,1,False
collaborative whiteboard,26,True
research repository,24,True
user research,34,True
usability testing,6,False
usability testing,36,False
collaborative whiteboard,32,False
user research,29,False
user research,6,True
field research,30,True
field research,1,False
field research,10,True
collaborative whiteboard,40,True
collaborative whiteboard,24,True
research repository,36,True
user research,29,True
collaborative whiteboard,25,True
usability testing,37,True
research repository,24,True
research repository,44,False
research repository,3,False
field research,41,True
collaborative whiteboard,36,True
research repository,29,True
collaborative whiteboard,2,False
collaborative whiteboard,15,True
field research,15,True
user research,39,True
research repository,17,True
research repository,6,True
collaborative whiteboard,15,True
usability testing,40,True
collaborative whiteboard,44,False
usability testing,46,False
usability testing,17,True
usability testing,21,False
field research,0,False
collaborative whiteboard,41,True
usability testing,40,True
research repository,37,True
collaborative whiteboard,44,True
field research,6,True
usability testing,10,True
research repository,13,True
field research,27,True
research repository,15,True
user research,19,True
user research,24,True
collaborative whiteboard,23,False
research repository,43,True
collaborative whiteboard,13,True
field research,27,True
field research,32,False
research repository,43,True
usability testing,29,True
field research,10,True
usability testing,1,True
collaborative whiteboard,40,True
collaborative whiteboard,23,True
field research,0,True
collaborative whiteboard,35,False
collaborative whiteboard,46,True
field research,11,True
user research,19,True
user research,29,True
collaborative whiteboard,15,True
collaborative whiteboard,21,True
collaborative whiteboard,31,False
research repository,26,True
usability testing,8,True
collaborative whiteboard,15,True
usability testing,12,True
user research,26,True
usability testing,10,False
usability testing,45,True
usability testing,28,True
user research,8,True
field research,41,True
user research,4,True
collaborative whiteboard,36,True
collaborative whiteboard,17,True
research repository,35,True
field research,34,False
collaborative whiteboard,22,False
user research,17,True
collaborative whiteboard,6,True
research repository,14,True
collaborative whiteboard,37,True
usability testing,31,True
research repository,30,True
user research,45,True
usability testing,7,False
usability testing,19,True
research repository,45,False
user research,19,False
usability testing,2,True
usability testing,31,True
field research,40,False
field research,13,True
field research,24,True
collaborative whiteboard,34,True
collaborative whiteboard,1,True
field research,21,True
user research,10,True
collaborative whiteboard,13,False
collaborative whiteboard,6,True
user research,18,False
user research,30,False
usability testing,5,True
collaborative whiteboard,11,True
usability testing,3,True
field research,14,True
collaborative whiteboard,36,False
collaborative whiteboard,36,True
user research,13,False
research repository,20,False
field research,33,True
field research,7,True
research repository,6,False
user research,30,True
usability testing,2,True
usability testing,1,True
usability testing,14,True
collaborative whiteboard,41,True
collaborative whiteboard,33,False
field research,33,False
field research,15,True
field research,40,False
field research,28,True
collaborative whiteboard,1,True
research repository,14,True
usability testing,0,True
research repository,17,True
collaborative whiteboard,25,True
field research,38,True
field research,16,True
usability testing,3,False
user research,31,False
usability testing,45,False
research repository,30,False
usability testing,11,True
collaborative whiteboard,43,False
field research,26,False
usability testing,30,True
user research,32,True
collaborative whiteboard,8,False
usability testing,31,True
research repository,10,True
research repository,27,False
collaborative whiteboard,20,False
user research,40,False
research repository,19,True
field research,33,True
research repository,25,True
research repository,32,True
usability testing,39,True
field research,24,True
usability testing,0,True
field research,26,False
field research,38,True
usability testing,10,True
collaborative whiteboard,5,False
user research,46,False
usability testing,2,False
usability testing,2,True
research repository,46,True
usability testing,29,True
collaborative whiteboard,7,True
field research,43,True
user research,31,True
